date,청약,아파트,종합소득세,구독서비스,AI
2026-09-02 01:00:00,6,15,1,0,89
2026-09-02 02:00:00,6,15,1,0,83
2026-09-02 03:00:00,5,13,0,0,74
2026-09-02 04:00:00,5,15,1,0,79
2026-09-02 05:00:00,6,15,1,0,81
2026-09-02 06:00:00,5,15,1,0,82
2026-09-02 07:00:00,5,15,0,0,81
2026-09-02 08:00:00,5,15,1,0,74
2026-09-02 09:00:00,3,12,0,0,74
2026-09-02 10:00:00,3,12,1,0,71
2026-09-02 11:00:00,3,13,0,0,60
2026-09-02 12:00:00,3,17,0,0,61
2026-09-02 13:00:00,3,29,0,0,65
2026-09-02 14:00:00,3,24,0,0,73
2026-09-02 15:00:00,3,20,0,0,81
2026-09-02 16:00:00,2,16,0,0,84
2026-09-02 17:00:00,3,15,0,0,72
2026-09-02 18:00:00,1,17,0,0,68
2026-09-02 19:00:00,2,24,0,0,69
2026-09-02 20:00:00,1,32,0,0,57
2026-09-02 21:00:00,2,47,0,0,48
2026-09-02 22:00:00,2,41,0,0,47
2026-09-02 23:00:00,4,36,0,0,60
2026-09-03 00:00:00,5,24,1,0,75
2026-09-03 01:00:00,5,22,1,0,83
2026-09-03 02:00:00,5,19,1,0,86
2026-09-03 03:00:00,4,17,0,0,73
2026-09-03 04:00:00,6,22,1,0,84
2026-09-03 05:00:00,5,22,0,0,82
2026-09-03 06:00:00,5,23,1,0,88
2026-09-03 07:00:00,5,31,1,0,81
2026-09-03 08:00:00,4,33,0,0,70
2026-09-03 09:00:00,3,35,0,0,64
2026-09-03 10:00:00,3,40,0,0,60
2026-09-03 11:00:00,2,31,0,0,60
2026-09-03 12:00:00,2,24,0,0,59
2026-09-03 13:00:00,2,21,0,0,64
2026-09-03 14:00:00,2,19,0,0,71
2026-09-03 15:00:00,2,14,0,0,83
2026-09-03 16:00:00,2,12,0,0,73
2026-09-03 17:00:00,2,10,0,0,69
2026-09-03 18:00:00,1,13,1,0,72
2026-09-03 19:00:00,0,17,0,0,68
2026-09-03 20:00:00,1,21,0,0,55
2026-09-03 21:00:00,1,26,0,0,49
2026-09-03 22:00:00,2,25,0,0,49
2026-09-03 23:00:00,3,20,0,0,64
2026-09-04 00:00:00,4,18,0,0,76
2026-09-04 01:00:00,4,17,1,0,82
2026-09-04 02:00:00,4,16,0,0,83
2026-09-04 03:00:00,4,16,0,0,74
2026-09-04 04:00:00,4,16,1,0,74
2026-09-04 05:00:00,4,18,1,0,85
2026-09-04 06:00:00,4,18,1,0,86
2026-09-04 07:00:00,3,18,0,0,75
2026-09-04 08:00:00,3,17,0,0,66
2026-09-04 09:00:00,3,13,0,0,64
2026-09-04 10:00:00,2,13,0,0,59
2026-09-04 11:00:00,2,12,0,0,56
2026-09-04 12:00:00,2,12,0,0,64
2026-09-04 13:00:00,2,11,0,0,68
2026-09-04 14:00:00,2,11,0,0,68
2026-09-04 15:00:00,2,11,0,0,72
2026-09-04 16:00:00,2,8,0,0,72
2026-09-04 17:00:00,1,8,0,0,72
2026-09-04 18:00:00,0,9,0,0,67
2026-09-04 19:00:00,1,9,0,0,63
2026-09-04 20:00:00,2,11,0,0,50
2026-09-04 21:00:00,0,13,0,0,31
2026-09-04 22:00:00,1,21,0,0,38
2026-09-04 23:00:00,2,20,0,0,42
2026-09-05 00:00:00,3,20,0,0,51
2026-09-05 01:00:00,3,19,0,0,53
2026-09-05 02:00:00,3,19,0,0,63
2026-09-05 03:00:00,3,17,0,0,59
2026-09-05 04:00:00,2,17,0,0,59
2026-09-05 05:00:00,2,15,0,0,67
2026-09-05 06:00:00,2,17,0,0,62
2026-09-05 07:00:00,2,15,0,0,60
2026-09-05 08:00:00,2,13,0,0,58
2026-09-05 09:00:00,2,14,0,0,56
2026-09-05 10:00:00,1,14,0,0,54
2026-09-05 11:00:00,2,12,0,0,53
2026-09-05 12:00:00,1,13,0,0,56
2026-09-05 13:00:00,2,12,0,0,62
2026-09-05 14:00:00,2,11,0,0,65
2026-09-05 15:00:00,1,10,0,0,62
2026-09-05 16:00:00,2,9,0,0,64
2026-09-05 17:00:00,2,8,0,0,64
2026-09-05 18:00:00,0,6,0,0,60
2026-09-05 19:00:00,2,8,0,0,56
2026-09-05 20:00:00,0,10,0,0,52
2026-09-05 21:00:00,1,12,0,0,45
2026-09-05 22:00:00,1,15,0,0,40
2026-09-05 23:00:00,1,15,0,0,45
2026-09-06 00:00:00,2,14,0,0,54
2026-09-06 01:00:00,2,13,0,0,55
2026-09-06 02:00:00,2,19,0,0,58
2026-09-06 03:00:00,2,23,0,0,61
2026-09-06 04:00:00,2,26,0,0,62
2026-09-06 05:00:00,2,22,0,0,62
2026-09-06 06:00:00,2,25,0,0,67
2026-09-06 07:00:00,2,27,0,0,68
2026-09-06 08:00:00,2,25,0,0,67
2026-09-06 09:00:00,2,20,0,0,58
2026-09-06 10:00:00,2,22,0,0,60
2026-09-06 11:00:00,2,22,0,0,63
2026-09-06 12:00:00,3,17,0,0,65
2026-09-06 13:00:00,2,16,0,0,67
2026-09-06 14:00:00,2,12,0,0,69
2026-09-06 15:00:00,2,11,0,0,72
2026-09-06 16:00:00,2,10,0,0,69
2026-09-06 17:00:00,2,9,0,0,72
2026-09-06 18:00:00,2,9,0,0,65
2026-09-06 19:00:00,0,10,0,0,61
2026-09-06 20:00:00,1,13,0,0,59
2026-09-06 21:00:00,1,14,0,0,38
2026-09-06 22:00:00,2,15,0,0,47
2026-09-06 23:00:00,5,15,0,0,62
2026-09-07 00:00:00,7,13,0,0,77
2026-09-07 01:00:00,9,15,0,0,83
2026-09-07 02:00:00,8,16,1,0,83
2026-09-07 03:00:00,7,13,0,0,75
2026-09-07 04:00:00,7,15,0,0,86
2026-09-07 05:00:00,7,17,0,0,87
2026-09-07 06:00:00,5,17,0,0,92
2026-09-07 07:00:00,6,17,0,0,87
2026-09-07 08:00:00,5,16,0,0,75
2026-09-07 09:00:00,4,15,0,0,63
2026-09-07 10:00:00,4,14,0,0,67
2026-09-07 11:00:00,4,14,0,0,66
2026-09-07 12:00:00,4,13,0,0,73
2026-09-07 13:00:00,4,15,0,0,75
2026-09-07 14:00:00,4,12,0,0,80
2026-09-07 15:00:00,3,10,0,0,80
2026-09-07 16:00:00,2,10,1,0,81
2026-09-07 17:00:00,2,10,0,0,84
2026-09-07 18:00:00,1,9,0,0,78
2026-09-07 19:00:00,1,11,0,0,66
2026-09-07 20:00:00,1,12,0,0,58
2026-09-07 21:00:00,2,14,0,0,45
2026-09-07 22:00:00,3,15,0,0,56
2026-09-07 23:00:00,6,14,0,0,69
2026-09-08 00:00:00,6,14,0,0,83
2026-09-08 01:00:00,6,15,1,0,88
2026-09-08 02:00:00,6,15,0,0,84
2026-09-08 03:00:00,5,13,0,0,81
2026-09-08 04:00:00,6,15,1,0,79
2026-09-08 05:00:00,5,16,0,0,83
2026-09-08 06:00:00,5,16,0,0,87
2026-09-08 07:00:00,5,17,0,0,83
2026-09-08 08:00:00,4,21,0,0,78
2026-09-08 09:00:00,3,19,0,0,72
2026-09-08 10:00:00,3,16,0,0,65
2026-09-08 11:00:00,3,14,0,0,64
2026-09-08 12:00:00,4,18,0,0,68
2026-09-08 13:00:00,4,21,0,0,70
2026-09-08 14:00:00,3,17,0,0,78
2026-09-08 15:00:00,3,12,0,0,79
2026-09-08 16:00:00,2,11,0,0,86
2026-09-08 17:00:00,2,9,0,0,75
2026-09-08 18:00:00,2,14,0,0,78
2026-09-08 19:00:00,1,15,0,0,64
2026-09-08 20:00:00,0,16,0,0,57
2026-09-08 21:00:00,1,20,0,0,46
2026-09-08 22:00:00,2,20,0,0,56
2026-09-08 23:00:00,4,18,0,0,68
2026-09-09 00:00:00,7,16,0,0,91
2026-09-09 01:00:00,8,16,0,0,100
